Neighborhood,Latitude,Longitude
Ameerpet,17.435350000000028,78.44861000000003
Sanathnagar,17.45876000000004,78.44310000000007
Khairatabad,17.405920000000037,78.45856000000003
Musheerabad,17.414690000000064,78.50148000000007
Amberpet,17.385820000000024,78.51836000000003
"Nampally, Hyderabad",17.38897000000003,78.46733000000006
Secunderabad,17.442000000000064,78.50192000000004
Secunderabad Cantonment Board,17.460440000000062,78.49299000000008
"Old City, Hyderabad",17.394870000000026,78.47076000000004
HITEC City,17.448230000000024,78.37429000000003
Jubilee Hills,17.42865000000006,78.39762000000007
Gachibowli,17.43181000000004,78.38636000000008
Serilingampally,17.48216000000002,78.32300000000004
Kukatpally,17.48735000000005,78.42087000000004
Patancheru,17.526770000000056,78.25234000000006
"Balanagar, Medchal district",17.491490000000056,78.44123000000008
Qutbullapur,17.505360000000053,78.46749000000005
Kompally,17.533180000000073,78.48102000000006
Alwal,17.535430000000076,78.54427000000004
Malkajgiri,17.447370000000035,78.53520000000003
Kapra,17.47840551524693,78.56366390879944
Keesara,17.555611015881126,78.57884813578704
Uppal Kalan,17.415830000000028,78.56949000000003
Ghatkesar,17.463219409181434,78.62115994355071
Dilsukhnagar,17.368570000000034,78.53515000000004
LB Nagar,17.34140000000002,78.51026000000007
Saroornagar,17.35442000000006,78.53921000000008
Hayathnagar,17.32707000000005,78.60533000000004
Mehdipatnam,17.392630000000054,78.44219000000004
Rajendranagar mandal,17.318900000000042,78.38076000000007
Shamshabad,17.27439000000004,78.41095000000007
